category,sub category,title,description,metrics,image,chefSpecial,vegan,allergens
Salads & Soups,,Desi-Caeser Salad (Malai Broccoli),"A twist to the iconic salad featuring crisp romaine, caeser dressing, parmesan, & your choice of toppings.",weight:180g;cal:178kcal;price:$12,/img/food-menu/imag.jpg,FALSE,FALSE,Dairy;Gluten
Salads & Soups,,Desi-Caeser Salad (Malai Chicken),"A twist to the iconic salad featuring crisp romaine, caeser dressing, parmesan, & your choice of toppings.",weight:180g;cal:178kcal;price:$14,/img/food-menu/imag.jpg,FALSE,FALSE,Dairy;Gluten
Salads & Soups,,Tandoori Pineapple & Kale Salad,"Charred pineapple marinated in tandoori spices, tossed with kale, feta cheese, & mint yogurt dressing.",weight:180g;cal:116kcal;price:$12,/img/food-menu/imag.jpg,FALSE,FALSE,Dairy
Salads & Soups,,Smokey Tomato Soup,"Char-grilled tomato broth, delicately spiced, enhanced with the freshness of coriander.",weight:150g;cal:133kcal;price:$6,/img/food-menu/smokey-tomato-shorba.jpg,FALSE,TRUE,Gluten
Salads & Soups,,Fenugreek Chicken Soup,"Exquisitely spiced chicken broth, enhanced with fenugreek leaves.",weight:150g;cal:154kcal;price:$8,/img/food-menu/chicken-fenugreek-shorba.jpg,FALSE,FALSE,Dairy
Chaat,,Pani Puri (Jaljeera | Gud Imli | Pineapple),"Street style puffs stuffed with chickpeas and potatoes, topped with flavored waters.",weight:180g;cal:197kcal;price:$12,/img/food-menu/pani-puri.jpg,FALSE,TRUE,Dairy;Nuts
Chaat,,Karol Bagh Aloo Tikki,"Stuffed potato patties, topped with whipped yogurt and chutneys.",weight:120g;cal:102kcal;price:$12,/img/food-menu/karol-bagh-aloo-tikki.jpg,FALSE,FALSE,Gluten
Chaat,,Bhalla Papdi Chaat,"Yellow lentil dumplings soaked in sweetened yogurt with chutneys, served with crisp discs.",weight:150g;cal:204kcal;price:$12,/img/food-menu/bhalla-papdi-chaat.jpg,FALSE,FALSE,Dairy;Gluten
Chaat,,Samosa Platter,"Crisp fried triangular pastry, stuffed with Paneer | Potato | Peas | Corn mixtures.",weight:160g;cal:320kcal;price:$10,/img/food-menu/samosa-platter.jpg,FALSE,FALSE,Dairy;Nuts
Chaat,,Palak Patta Chaat,"Crispy fried spinach leaves tossed with spices, yogurt, and chutneys.",weight:160g;cal:198kcal;price:$12,/img/food-menu/palak-patta-chaat.jpg,FALSE,TRUE,Dairy
Appetizers,Vegetarian,Tandoori Cottage Cheese,"Stuffed paneer, capsicum and onions marinated in yogurt and char-grilled, lemon & black pepper chutney.",weight:250g;cal:643kcal;price:$22,/img/food-menu/tandoori-cottage-cheese.jpg,FALSE,FALSE,Dairy
Appetizers,Vegetarian,Truffle Malai Broccoli,"Tender broccoli in a mixture of cream and spices, char-grilled, cranberry & ginger launji.",weight:250g;cal:283kcal;price:$18,/img/food-menu/malai-brocolli-tikka.jpg,FALSE,FALSE,None
Appetizers,Vegetarian,Tandoori Russet Potatoes,"Scooped potatoes stuffed with a mixture of spiced potatoes and dry fruits, char-grilled, garlic chutney.",weight:250g;cal:319kcal;price:$18,/img/food-menu/tandoori-russet-potatoes.jpg,FALSE,FALSE,None
Appetizers,Vegetarian,Peas & Mint Kebab,"Ground green pea patties enhanced with fresh mint and stuffed with cheese, cranberry & ginger launji.",weight:250g;cal:337kcal;price:$18,/img/food-menu/matar-ke-kebab.jpg,FALSE,FALSE,None
Appetizers,Vegetarian,Beetroot Shammi Labgeer,"Melt-in-mouth beetroot patties stuffed with hung yogurt, lemon & black pepper chutney.",weight:250g;cal:311kcal;price:$18,/img/food-menu/betroot-shammi-labgeer.jpg,FALSE,FALSE,None
Appetizers,Vegetarian,Garden Grill Seekh,"Minced vegetables marinated and skewered, char-grilled, pineapple & green chili chutney.",weight:250g;cal:325kcal;price:$18,/img/food-menu/garden-grill-seekh-kebab.jpg,FALSE,FALSE,None
Appetizers,Seafood,Tandoori Lobster,"Lobster tail, marinated with spices, char-grilled, pineapple & green chili chutney.",weight:250g;cal:415kcal;price:$38,/img/food-menu/tandoori-prawns.jpg,FALSE,FALSE,None
Appetizers,Seafood,Ajwaini Tilapia Tikka,"Tilapia steaks marinated with carom seeds, yogurt, and spices, char-grilled, cranberry & ginger launji.",weight:250g;cal:487kcal;price:$24,/img/food-menu/fish-tikka.jpg,FALSE,FALSE,None
Appetizers,Seafood,Tandoori Pomfret,"Whole silver Pomfret, marinated with spices, char-grilled, lemon & black pepper chutney.",weight:220g;cal:359kcal;price:$30,/img/food-menu/tandoori-pomfret.jpg,FALSE,FALSE,None
Appetizers,Poultry,Chicken Tikka,"Morsels of chicken marinated in a spicy yogurt marinade, char-grilled, pineapple & green chili chutney.",weight:260g;cal:684kcal;price:$24,/img/food-menu/chicken-tikka.jpg,FALSE,FALSE,None
Appetizers,Poultry,Chandi Tikka,"Creamy chicken kebabs marinated in cream and spices, char-grilled, adorned with silver leaf, garlic chutney.",weight:260g;cal:729kcal;price:$24,/img/food-menu/chicken-malai-tikka.jpg,FALSE,FALSE,None
Appetizers,Poultry,Reshmi Seekh,"Minced chicken kebabs marinated and skewered, char-grilled, lemon & black pepper chutney.",weight:260g;cal:976kcal;price:$24,/img/food-menu/reshmi-seekh-kebab.jpg,FALSE,FALSE,None
