category,sub category,title,description,price,image
Classic Cocktails,Classic Cocktails,Rum and Coke,Smooth rum mixed with refreshing cola for a simple yet satisfying cocktail.,$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Screwdriver,"Vodka and orange juice combine for a refreshing, zesty cocktail.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Cosmopolitan,"A zesty mix of vodka, lime, cranberry juice, and triple sec.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Old Fashioned,"Bourbon, bitters, sugar, and orange peel create a timeless drink.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Mojito,"A cool mix of white rum, mint, lime, sugar, and club soda.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Martini,"A refined blend of gin, vermouth, and bitters, garnished with an olive or lemon twist.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Bloody Mary,"A unique mix of vodka, tomato juice, and lemon, garnished with a celery stalk.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Tom Collins,"Gin, lemon juice, sugar, and sparkling water create a delightful cocktail.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Manhattan,"Whiskey, vermouth, and bitters, garnished with a maraschino cherry.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Mai Tai,"A vibrant mix of white and dark rums, orange curaçao, syrup, and lime juice.",$10,./assets/img/modal-images/food-menu/imag.jpg
Classic Cocktails,Classic Cocktails,Long Island Iced Tea,"A bold mix of vodka, tequila, rum, gin, triple sec, and cola.",$10,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Very Berry Fizz,"A vibrant mix of mixed berries, star anise, citrus, and ginger ale.",$12,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Gondhraj Lemonade,Lemon saccharum paired with an aperitif and tonic water.,$12,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Kiwi Fizz,"A delightful mix of kiwi, mint, citrus, and fizz.",$12,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Orange Thyme Smash,"A blend of orange, thyme, citrus, and pineapple cordial.",$12,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Cucumba,"A light mix of cucumber, basil, elderflower, and citrus.",$12,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Soft Drinks,A sparkling blend of classic soda flavors to cool and delight.,$4,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Virgin Mai Tai,"A vibrant, alcohol-free version of the classic Mai Tai, perfect for any occasion.",$10,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Coke,A timeless fizzy drink with bold flavor and perfect carbonation.,$4,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Diet Coke,A guilt-free version of the classic soda with the same bold taste.,$4,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Banarasi Boulevardier,"Whisky, Campari, sweet vermouth, saffron, and betel leaf.",$15,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Royal Vodka Sour,"Vodka, lemon saccharum, Campari, rose, and citrus.",$15,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Tropical City,"Rum, pineapple cordial, coconut, curry leaf, Campari, and citrus.",$15,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Guava Dark & Stormy,"Rum, pink guava, thyme, and citrus.",$15,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Raw Mango Picante,"Tequila, raw mango, citrus, celery, chili, and hemp seed salt.",$15,./assets/img/modal-images/food-menu/imag.jpg
House Cocktails,House Cocktails,Pani Puri Martini,An innovative cocktail inspired by the popular Indian street snack.,$15,./assets/img/modal-images/food-menu/pani-puri-martini.jpg
Wines,White Wine,Castello Poggio Moscato Pavia IGT VT,Glass of Castello Poggio Moscato.,$8.00,./assets/img/modal-images/food-menu/imag.jpg
Wines,White Wine,Castello Poggio Moscato Pavia IGT VT Bottle,Bottle of Castello Poggio Moscato.,$35.00,./assets/img/modal-images/food-menu/imag.jpg
Wines,White Wine,Tobias Chardonnay,Glass of Tobias Chardonnay.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Wines,White Wine,Tobias Chardonnay Bottle,Bottle of Tobias Chardonnay.,$45.00,./assets/img/modal-images/food-menu/imag.jpg
Wines,White Wine,Taft Street Sauvignon Blanc Russian VT,Glass of Taft Street Sauvignon Blanc.,$12.00,./assets/img/modal-images/food-menu/imag.jpg
Wines,White Wine,Taft Street Sauvignon Blanc Russian VT Bottle,Bottle of Taft Street Sauvignon Blanc.,$50.00,./assets/img/modal-images/food-menu/imag.jpg
Wines,White Wine,Terracotta Pinot Grigio,Glass of Terracotta Pinot Grigio.,$8.00,./assets/img/modal-images/food-menu/imag.jpg
Wines,White Wine,Terracotta Pinot Grigio Bottle,Bottle of Terracotta Pinot Grigio.,$35.00,./assets/img/modal-images/food-menu/imag.jpg
Wines,Red Wine,Highway 12 Vineyards Cabernet Sauvignon Sonoma County,"A robust cabernet sauvignon with flavors of dark fruit, oak, and spice.",$14,./assets/img/modal-images/food-menu/imag.jpg
Wines,Red Wine,Cru Pinot Noir,"A velvety red wine with notes of cherry, raspberry, and subtle spice.",$10,./assets/img/modal-images/food-menu/imag.jpg
Wines,Red Wine,CRU MONTEREY PINOT NOIR Bottle,A bottle of CRU Monterey Pinot Noir featuring bold fruit flavors and an exquisite finish.,$40,./assets/img/modal-images/food-menu/imag.jpg
Wines,Red Wine,HIGHWAY 12 CABERNET SAUVIGNON SONOMA Bottle,A premium bottle of Highway 12 Cabernet Sauvignon with intense flavors of dark berries and oak.,$60,./assets/img/modal-images/food-menu/imag.jpg
Wines,Red Wine,MUIRWOOD MERLOT CALIFORNIA VT,"A balanced merlot with hints of plum, chocolate, and soft tannins.",$10,./assets/img/modal-images/food-menu/imag.jpg
Wines,Red Wine,MUIRWOOD MERLOT CALIFORNIA VT Bottle,"A full bottle of Muirwood Merlot, rich with flavors of dark fruit and silky tannins.",$40,./assets/img/modal-images/food-menu/imag.jpg
Wines,Red Wine,Caymus Bottle,A bold red wine known for its rich flavors and full-bodied profile.,$130,./assets/img/modal-images/food-menu/caymus.jpg
Wines,Red Wine,Austin Hope Bottle,"A luxurious, full-bodied red wine with layers of dark fruit and earthy undertones.",$110,./assets/img/modal-images/food-menu/austin-hope.jpg
Liquors,Bourbon & Cognac,Jim Beam (bourbon),,$7.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Makers Mark (bourbon),,$11.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Four Roses (bourbon),,$8.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Woodford Reserve (bourbon),,$13.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Knob Creek (bourbon),,$13.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,TX Bourbon (bourbon),,$17.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Remy Martin VSOP (cognac),,$20.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Basil Hayden Bourbon,,$14.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Buffalo Trace Bourbon,,$12.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Bullet Bourbon,,$12.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Bullet Rye,,$12.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Four Roses Bourbon,,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Jim Beam Bourbon,,$8.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Knob Creek Bourbon,,$15.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Maker's Mark Bourbon,,$12.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,TX Bourbon,,$20.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,Woodford Reserve Bourbon,,$15.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,WhistlePig Black Bourbon (6Years),,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Bourbon & Cognac,WhistlePig Small Batch Bourbon (10Years),,$15.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Tanqueray (gin),Smooth and crisp with notes of juniper and citrus.,$11,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Tanqueray 10 (gin),Rich and refreshing with citrus-forward botanicals.,$12,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Bombay Sapphire (gin),Bright and aromatic with a delicate spice finish.,$10,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Hendricks (gin),Unique and refreshing with floral undertones.,$13,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Campari (liqueur),Bitter and aromatic with notes of orange and herbs.,$12,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Grand Marnier (liqueur),Rich and smooth with a sweet orange finish.,$13,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Disaronno Amaretto (liqueur),Smooth and nutty with a hint of marzipan.,$12,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Cointreau (liqueur),Crisp and zesty with a balanced sweetness.,$12,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Kahlua (liqueur),Velvety and bold with coffee and vanilla notes.,$11,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Gin & Liqueur,Aperol (liqueur),Lightly bitter with citrus and herbal undertones.,$10,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Bacardi Silver,Smooth and versatile silver rum.,$8.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Malibu,Coconut-infused rum with a sweet finish.,$9.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Captain Morgan,Bold spiced rum with a smooth finish.,$11.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Ypioca Cachaca Prata,Premium cachaca with a smooth finish.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
